model,lookback_days,window_id,split_idx_global,status,error_message,train_start,train_end,test_start,test_end,n_train,n_test,n_train_eval,train_eval_start,train_eval_end,generalization_gap_RMSE,model_hyperparams_json,feature_columns_json,RMSE,MAE,MAPE,Accuracy,Bias,ErrorPct,ErrorStd,train_RMSE,train_MAE,train_MAPE,train_Accuracy,train_Bias,train_ErrorPct,train_ErrorStd
LinearRegression,45,1,1,error,AttributeError: 'numpy.datetime64' object has no attribute 'dayofweek',2025-01-01,2025-02-14,2025-02-15,2025-03-16,45,30,0,2025-01-01,2025-02-14,,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",,,,,,,,,,,,,,
LinearRegression,45,2,2,error,AttributeError: 'numpy.datetime64' object has no attribute 'dayofweek',2025-01-01,2025-03-16,2025-03-17,2025-04-15,75,30,0,2025-01-01,2025-03-16,,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",,,,,,,,,,,,,,
LinearRegression,45,3,3,error,AttributeError: 'numpy.datetime64' object has no attribute 'dayofweek',2025-01-01,2025-04-15,2025-04-16,2025-05-15,105,30,0,2025-01-01,2025-04-15,,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",,,,,,,,,,,,,,
LinearRegression,45,4,4,error,AttributeError: 'numpy.datetime64' object has no attribute 'dayofweek',2025-01-01,2025-05-15,2025-05-16,2025-06-14,135,30,0,2025-01-01,2025-05-15,,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",,,,,,,,,,,,,,
LinearRegression,45,5,5,error,AttributeError: 'numpy.datetime64' object has no attribute 'dayofweek',2025-01-01,2025-06-14,2025-06-15,2025-07-14,165,30,0,2025-01-01,2025-06-14,,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",,,,,,,,,,,,,,
LinearRegression,45,6,6,error,AttributeError: 'numpy.datetime64' object has no attribute 'dayofweek',2025-01-01,2025-07-14,2025-07-15,2025-08-13,195,30,0,2025-01-01,2025-07-14,,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",,,,,,,,,,,,,,
LinearRegression,45,7,7,error,AttributeError: 'numpy.datetime64' object has no attribute 'dayofweek',2025-01-01,2025-08-13,2025-08-14,2025-09-12,225,30,0,2025-01-01,2025-08-13,,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",,,,,,,,,,,,,,
LinearRegression,45,8,8,error,AttributeError: 'numpy.datetime64' object has no attribute 'dayofweek',2025-01-01,2025-09-12,2025-09-13,2025-10-12,255,30,0,2025-01-01,2025-09-12,,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",,,,,,,,,,,,,,
LinearRegression,45,9,9,error,AttributeError: 'numpy.datetime64' object has no attribute 'dayofweek',2025-01-01,2025-10-12,2025-10-13,2025-11-11,285,30,0,2025-01-01,2025-10-12,,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",,,,,,,,,,,,,,
LinearRegression,45,10,10,error,AttributeError: 'numpy.datetime64' object has no attribute 'dayofweek',2025-01-01,2025-10-13,2025-10-14,2025-11-12,286,30,0,2025-01-01,2025-10-13,,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",,,,,,,,,,,,,,
ARIMA,45,1,1,ok,,2025-01-01,2025-02-14,2025-02-15,2025-03-16,45,30,45,2025-01-01,2025-02-14,0.45826711074860516,"{""order"": ""(2,1,2)""}",[],3.391929048956687,2.507721629263991,18.92013272246845,81.07986727753155,-0.7463980682019186,26.814496388009506,3.308787179155023,2.9336619382080817,2.0939581666354683,17.436605997241614,82.56339400275839,-0.27949688633271697,23.984972412534137,2.920317424223113
ARIMA,45,2,2,ok,,2025-01-01,2025-03-16,2025-03-17,2025-04-15,75,30,75,2025-01-01,2025-03-16,2.1016611285110525,"{""order"": ""(2,1,2)""}",[],5.130576603130658,3.9015218792180746,22.764469676296223,77.23553032370378,-3.1019793172804486,33.708170061802534,4.08662949088317,3.0289154746196054,2.2697431697478154,18.567949227481044,81.43205077251895,-0.4734005398780988,24.429508182084,2.99169197632932
ARIMA,45,3,3,ok,,2025-01-01,2025-04-15,2025-04-16,2025-05-15,105,30,105,2025-01-01,2025-04-15,1.1572811961773875,"{""order"": ""(2,1,2)""}",[],4.221404703070253,3.340930932427689,20.88755684339837,79.11244315660163,-0.5174421112843063,25.345457197476073,4.18957173569964,3.064123506892866,2.3275339100943513,18.10615770906393,81.89384229093608,-0.37842613284672855,23.204489646420516,3.0406654744434
ARIMA,45,4,4,ok,,2025-01-01,2025-05-15,2025-05-16,2025-06-14,135,30,135,2025-01-01,2025-05-15,-0.7274895585661745,"{""order"": ""(2,1,2)""}",[],2.8858098677130544,2.609179311924291,21.158450937779037,78.84154906222096,0.6215075739417221,21.557260756770994,2.818089233527411,3.613299426279229,2.8035461279836618,20.103901497287048,79.89609850271296,-0.7597616716382373,25.86160989854433,3.5325196314046536
ARIMA,45,5,5,ok,,2025-01-01,2025-06-14,2025-06-15,2025-07-14,165,30,165,2025-01-01,2025-06-14,-0.7496189463972285,"{""order"": ""(2,1,2)""}",[],2.428532076682863,2.0239969011675347,16.902241405274825,83.09775859472518,0.5550238633267326,19.24185118015515,2.364258141281414,3.1781510230800913,2.4044866460244037,18.05480366789672,81.94519633210328,-0.1400324949030244,22.92158894923994,3.175064538852126
